Actual_Vol,Forecast
96.3897084,96.03383473
116.0903736,116.0154147
167.4690259,166.9640627
204.995296,205.4196593
258.2016561,255.2302629
272.9292017,275.4017305
290.7888798,291.7134707
260.4073692,261.3689811
211.513308,213.4515764
151.9304515,150.8209239
108.150876,107.8287358
97.50048571,96.5221992
105.2615606,106.3356039
141.0062535,138.6582326
186.6366126,184.6383081
216.3646839,216.2869648
234.6608447,237.2940032
292.5804039,291.8595338
298.2322989,298.8063033
262.5233328,266.3702407
241.7232784,239.3246976
162.6521492,161.2395673
118.4646113,118.3339798
107.2566384,105.5339268
119.1430886,117.0783186
128.5177074,127.8253218
168.8984397,169.1639038
219.003595,217.6258462
231.578344,234.9321089
302.4166269,301.3797292
304.1708348,307.5404525
311.2239269,309.3055013
257.077349,257.0492339
176.3166002,177.237109
153.1296686,152.2949571
133.747776,132.5923473
145.0053852,143.9398811
156.6929317,155.2990651
201.1191974,201.2714408
251.2978048,250.0610321
281.7826247,280.6026891
308.623026,311.9657386
332.8832332,333.9349148
320.0572778,320.2988153
264.1469362,265.8644834
198.3733408,198.0245345
183.0178854,179.5360251
140.4676732,140.1478059
147.14,146.6028004
139.98,142.4668927
210.88,210.2647927
262.9597912,262.3607365
310.9791902,310.9457671
357.6431094,358.7902205
391.0771813,389.2089934
353.37,356.5477883
311.8465822,309.2475808
217.7916569,218.242764
180.018923,180.1855942
151.1919916,151.3480844
162.7,163.8124078
182.63,181.2716662
240.2497308,240.6614816
287.46,287.625569
348.82,346.7129209
386.92,390.3344416
419.99,419.3511818
416.99,414.5834794
326.39,329.9503401
270.7408847,267.7887285
220.88,219.2564054
177.5431853,180.5926952
192.245585,194.3728157
218.516503,216.2340849
280.75073,280.4820406
320.0591757,320.4695224
372.314673,375.7299461
478.3066667,471.6153603
447.1403107,451.4682949
455.9403107,454.6737208
381.8669773,380.0177348
281.2257347,282.0663944
226.3933333,229.3838154
235.81,230.849132
230.1993533,231.8609873
212.67602,215.6207122
308.16602,304.0534645
323.6026867,323.7459393
372.61602,375.7189051
442.570077,442.3394718
464.8298053,463.8204018
445.0980586,445.9103811
380.766827,380.6166017
290.5751967,291.4728634
265.0262313,260.48305
219.737645,219.3263549
236.9561876,239.02949
210.9322278,208.789128
244.8880339,251.3241211
300.0433554,303.6201589
428.7472209,421.2071666
449.8076971,450.3036489
477.3262368,477.0475019
440.308973,442.8970195
380.1585476,379.7397301
298.1261234,293.9712617
221.1728303,223.3740259
192.525338,194.1299538
258.9787481,257.7181912
199.0928587,201.6344705
297.5291589,295.8477664
337.5600132,335.4382968
392.1842994,395.282854
444.851687,447.7516098
515.6980666,513.0959184
501.0422673,498.9457
423.7352842,420.2346619
296.5849515,297.6972879
238.9506747,240.372435
201.3530704,204.1543526
290.2728014,287.4896229
208.6258693,211.8032529
311.9531971,310.8523105
353.2119753,354.4126478
437.1097751,436.2685874
493.5654085,491.6295892
516.8249833,518.0358699
505.0329293,503.3476247
405.3996648,404.7545762
293.1607433,295.8930691
264.569936,262.8840388
235.9581421,232.4151792
285.5111657,290.1471721
232.5259972,230.0164841
288.0015889,293.9790946
369.5494156,368.2588987
452.9965032,450.6962619
504.5663196,504.1281748
542.7099284,540.089937
507.1399133,506.5444447
383.455204,385.0220777
289.7822594,289.9504901
233.8288606,234.5857512
199.4736681,201.41357
321.6585234,320.2195364
230.6948288,232.147301
336.272697,334.6770188
368.080691,369.3148102
437.1402172,438.4819727
513.4045612,511.7665522
548.4998139,547.5291222
535.0078656,531.3507337
395.466749,396.4408598
297.1055447,298.8763788
236.7839756,238.1414145
208.4637029,209.5547654
346.7278711,344.9593671
237.0057143,237.6787354
338.4476909,338.4056076
372.2049234,371.7101987
428.7186742,430.1345487
498.7764268,496.7370221
527.2941907,524.0444558
473.0556324,475.0625339
351.4654231,353.4469445
276.4103243,275.7922461
206.9323274,208.5244832
184.154861,185.6879902
337.1778237,335.7540466
231.9484475,231.4168091
335.5980409,334.2675526
353.5410749,353.5591424
413.7724641,412.331218
449.258227,450.1139412
468.2322225,469.875135
450.3305287,450.0060663
339.9467218,339.2455348
252.2322725,253.1038832
188.6879068,189.7347924
173.1899341,172.5478842
NA,300.5039044
NA,195.3873738
NA,300.8590191
NA,331.0446242
NA,400.3422218
NA,457.4865375
NA,491.3822141
NA,474.4767037
NA,368.2924165
NA,290.3462589
NA,230.5530133
NA,210.6922468
