variables,dir_flag
TEMP_MAX_C.,0
Population..15.45.,1
s1,1
pop_ratio,0
Average.Temperature,1
Real.Mass.Income...Million.2009.R.,1
Industrial.Production.Index,1
GRP..30....5.....Total.Market,1
Number.of.Tourists_LCA,1
CCI,1
b_price,0
pro15,NA
Brazilian.Beer.Festival,1
Jan_flag,NA
Lowend.Wine.Consumption.10.3.,0
Unemployment_wb,0
