"","PREDICTED","ACTUAL","ERROR","APE"
"1",3094.72828726134,3094.71,0.018287261336809,5.909200324686e-06
"2",2906.36155730067,2905.34,1.02155730067034,0.000351613683999235
"3",3487.74875111186,3486.81,0.938751111862985,0.00026922921290893
"4",3582.87101584779,3582.78,0.0910158477927325,2.54036942800653e-05
"5",3721.51912916046,3721.73,-0.210870839540348,5.66593599052989e-05
"6",3772.48740725961,3772.78,-0.292592740393047,7.75536183909603e-05
"7",3913.98054117935,3915.38,-1.39945882064694,0.000357426053319714
"8",3882.88036855527,3882.33,0.550368555268051,0.000141762435256161
"9",3787.94057991301,3788.24,-0.299420086990267,7.90393657715105e-05
"10",3431.20781170204,3431.94,-0.732188297961329,0.000213345308473146
"11",2939.7174660576,2938.98,0.737466057595157,0.000250925851007886
"12",3235.16098460041,3234.43,0.730984600406373,0.000226001057498964
"13",2896.7040032133,2896.03,0.674003213303422,0.00023273350528255
"14",3032.52636128949,3034.87,-2.34363871051255,0.000772236936182621
"15",3491.47745882152,3493.48,-2.00254117848408,0.000573222453966841
"16",3411.79332784535,3411.88,-0.0866721546462941,2.54030489484666e-05
"17",3583.11301689,3582.91,0.203016889998707,5.66625703684177e-05
"18",3790.40395954223,3790.11,0.293959542229004,7.75596334219862e-05
"19",3371.48505659762,3370.28,1.20505659761511,0.000357553852384702
"20",4139.34319662809,4139.93,-0.58680337190799,0.000141742341514951
"21",3580.27298250584,3579.99,0.282982505836571,7.90456134895828e-05
"22",3000.79020451186,3000.15,0.640204511857519,0.000213390834410786
"23",2998.79752417924,2999.55,-0.752475820757354,0.000250862903021238
"24",3048.01114625765,3048.7,-0.688853742345145,0.000225949992569011
"25",3014.89051422429,3015.61,-0.719485775709472,0.000238587143466653
"26",2552.27423890749,2551.2,1.0742389074876,0.000421072008265756
"27",3192.09086667803,3191.12,0.970866678032053,0.000304240103171317
"28",3342.36179198474,3171.49,170.871791984736,0.0538774493959419
"29",3353.47068222457,3604.65,-251.179317775425,0.0696820267641589
"30",3542.63036981616,3647.44,-104.809630183837,0.0287351211216187
"31",3147.58571646824,3198.08,-50.4942835317638,0.0157889369658557
"32",3860.94787531817,3531.88,329.067875318174,0.0931707406022214
"33",3337.10527863964,3245.61,91.4952786396361,0.0281904722500966
"34",2795.46664014761,NA,NA,NA
"35",2792.51804052022,NA,NA,NA
"36",2837.66535988546,NA,NA,NA
"37",2806.51889786121,NA,NA,NA
"38",2375.82106639036,NA,NA,NA
"39",2971.40680557837,NA,NA,NA
"40",3111.28880417623,NA,NA,NA
"41",3121.62968526006,NA,NA,NA
"42",3297.71188546248,NA,NA,NA
"43",2929.97850302059,NA,NA,NA
"44",3594.02262399974,NA,NA,NA
"45",3106.39569800238,NA,NA,NA
