,Trained_Year,Based_On,Year,Month,Actual_value,Predicted_value,Accuracy
62,2015,Holt-Winters' additive method,2014,01-02-2014,1295.234895,1234.618607,0.953200544
63,2015,Holt-Winters' additive method,2014,01-03-2014,1298.673707,1445.891382,0.886639982
64,2015,Holt-Winters' additive method,2014,01-04-2014,1500.886595,1355.320836,0.903013486
65,2015,Holt-Winters' additive method,2014,01-05-2014,1255.636159,1245.841425,0.992199385
66,2015,Holt-Winters' additive method,2014,01-06-2014,1248.203353,1278.797855,0.975489168
67,2015,Holt-Winters' additive method,2014,01-07-2014,1295.34551,1257.622038,0.970877675
68,2015,Holt-Winters' additive method,2014,01-08-2014,1273.485672,1248.93349,0.980720488
69,2015,Holt-Winters' additive method,2014,01-09-2014,1338.542127,1331.834191,0.994988626
70,2015,Holt-Winters' additive method,2014,01-10-2014,1439.808765,1451.19956,0.992088675
71,2015,Holt-Winters' additive method,2014,01-11-2014,1584.612492,1594.831877,0.993550862
72,2015,Holt-Winters' additive method,2014,01-12-2014,1810.307154,1880.024261,0.961488796
73,2015,Holt-Winters' additive method,2015,01-01-2015,1662.501069,1534.363641,0.922924905
74,2015,Holt-Winters' additive method,2015,01-02-2015,1055.452127,1245.790659,0.819661615
75,2015,Holt-Winters' additive method,2015,01-03-2015,1572.300884,1454.102217,0.924824397
76,2015,Holt-Winters' additive method,2015,01-04-2015,1261.277434,1367.042602,0.916144406
77,2015,Holt-Winters' additive method,2015,01-05-2015,1093.949577,1254.721796,0.853035073
78,2015,Holt-Winters' additive method,2015,01-06-2015,1288.687455,1284.10868,0.996446947
79,2015,Holt-Winters' additive method,2015,01-07-2015,1421.229635,1261.353201,0.887508373
80,2015,Holt-Winters' additive method,2015,01-08-2015,1318.693795,1252.794783,0.950027056
81,2015,Holt-Winters' additive method,2015,01-09-2015,1331.707548,1335.501003,0.997151435
82,2015,Holt-Winters' additive method,2015,01-10-2015,1485.756646,1454.159687,0.978733422
83,2015,Holt-Winters' additive method,2015,01-11-2015,1571.134384,1597.879765,0.982977025
84,2015,Holt-Winters' additive method,2015,01-12-2015,1965.386745,1882.529206,0.957841611
85,2015,Holt-Winters' additive method,2016,01-01-2016,1468.391614,1538.993816,0.951918683
86,2015,Holt-Winters' additive method,2016,01-02-2016,1202.601797,1249.135887,0.961305488
87,2015,Holt-Winters' additive method,2016,01-03-2016,1493.370473,1460.404916,0.977925399
88,2015,Holt-Winters' additive method,2016,01-04-2016,1276.321496,1372.744048,0.924452771
89,2015,Holt-Winters' additive method,2016,01-05-2016,1217.321543,1262.547483,0.962847992
90,2015,Holt-Winters' additive method,2016,01-06-2016,1182.128779,1295.853185,0.90379694
91,2015,Holt-Winters' additive method,2016,01-07-2016,1395.204644,1275.619608,0.914288534
92,2015,Holt-Winters' additive method,2016,01-08-2016,1231.507862,1266.969133,0.971204998
93,2015,Holt-Winters' additive method,2016,01-09-2016,1377.947097,1349.81638,0.979585053
94,2015,Holt-Winters' additive method,2016,01-10-2016,1439.062829,1469.230259,0.979036753
