"","PREDICTED","ACTUAL","ERROR","APE"
"1",NA,3094.71,NA,NA
"2",NA,2905.34,NA,NA
"3",NA,3486.81,NA,NA
"4",NA,3582.78,NA,NA
"5",NA,3721.73,NA,NA
"6",NA,3772.78,NA,NA
"7",NA,3915.38,NA,NA
"8",NA,3882.33,NA,NA
"9",NA,3788.24,NA,NA
"10",NA,3431.94,NA,NA
"11",NA,2938.98,NA,NA
"12",NA,3234.43,NA,NA
"13",2931.62145945171,2896.03,35.5914594517094,0.0122897412843477
"14",3060.33587957967,3034.87,25.4658795796745,0.00839109404345969
"15",3494.81118872386,3493.48,1.33118872386331,0.000381049476127903
"16",3421.30136929156,3411.88,9.42136929156004,0.00276134251250338
"17",3586.25848619377,3582.91,3.34848619376953,0.000934571673240336
"18",3776.49131433384,3790.11,-13.6186856661602,0.0035932164676382
"19",3770.22822337611,3370.28,399.948223376107,0.118669138284091
"20",3577.11726252634,4139.93,-562.812737473662,0.135947404297576
"21",3619.98947561373,3579.99,39.9994756137344,0.0111730690906216
"22",3271.18871630976,3000.15,271.038716309761,0.090341721683836
"23",2722.4138244278,2999.55,-277.136175572203,0.0923925840783462
"24",3076.9070166701,3048.7,28.207016670101,0.00925214572444025
"25",2752.14326584969,3015.61,-263.46673415031,0.0873676417541759
"26",2995.58783119184,2551.2,444.387831191842,0.174187767008404
"27",3302.25170631098,3191.12,111.13170631098,0.0348252984253114
"28",3183.60500414075,3171.49,12.1150041407473,0.00381997236023045
"29",3321.57735061706,3604.65,-283.072649382942,0.0785298570965119
"30",3483.10710831551,3647.44,-164.332891684488,0.0450543097856273
"31",3320.75777551518,3198.08,122.677775515183,0.0383598207409392
"32",3552.84718343322,3531.88,20.9671834332157,0.00593655034520304
"33",3240.60256736876,3245.61,-5.00743263124332,0.00154283251260728
"34",2832.99164181208,NA,NA,NA
"35",2558.37537028279,NA,NA,NA
"36",2685.46958058197,NA,NA,NA
"37",2461.86058389796,NA,NA,NA
"38",2351.46786674229,NA,NA,NA
"39",2791.32542009417,NA,NA,NA
"40",2740.22760182864,NA,NA,NA
"41",2853.55290751748,NA,NA,NA
"42",2986.49115625317,NA,NA,NA
"43",2841.59616085817,NA,NA,NA
"44",3033.95738508187,NA,NA,NA
"45",2761.4845589859,NA,NA,NA
