"","alpha","beta","gamma","OutSample_Error","InSample_Error","Mean_MAPE"
"77",0.05,0.75,0.55,0.0353700683630889,0.0474317432134373,0.043985550399052
"78",0.05,0.75,0.65,0.0353145396134634,0.0473994962726653,0.0439466515128933
"79",0.05,0.75,0.75,0.035259470175822,0.0473672668960518,0.0439078964045576
"80",0.05,0.75,0.85,0.0352635023130639,0.0473350551441803,0.0438860400495756
"81",0.05,0.75,0.95,0.0389777902929636,0.0473028610779131,0.0449242694250704
"82",0.05,0.85,0.05,0.0415207166447797,0.0474732204515354,0.0457725050781766
"83",0.05,0.85,0.15,0.0377110776925977,0.0474440227170019,0.0446631812814578
"84",0.05,0.85,0.25,0.0356540566384053,0.0474148440318676,0.0440546190623069
"85",0.05,0.85,0.35,0.0356794220669204,0.0473856844613796,0.0440410380629627
"86",0.05,0.85,0.45,0.0357053893801469,0.0473565440710837,0.044027642730816
"87",0.05,0.85,0.55,0.0357319605016419,0.0473274229268255,0.0440144336624873
"88",0.05,0.85,0.65,0.035759137363403,0.0472983210947529,0.0440014114572243
"89",0.05,0.85,0.75,0.0357869219059217,0.0472692386413171,0.0439885767169184
"90",0.05,0.85,0.85,0.0358153160782273,0.0472401756332748,0.0439759300461184
"91",0.05,0.85,0.95,0.0393443936208306,0.0472111321376898,0.0449634925614443
"92",0.05,0.95,0.05,0.0415579876169346,0.0474319705135974,0.0457536896859795
"93",0.05,0.95,0.15,0.0377501366026581,0.0474058679420448,0.0446470875593629
"94",0.05,0.95,0.25,0.0360388196296888,0.0473797862711917,0.0441395100879051
"95",0.05,0.95,0.35,0.0361431260497891,0.0473537255725379,0.0441506971374668
"96",0.05,0.95,0.45,0.0362481909800884,0.04732768591791,0.0441621159356752
"97",0.05,0.95,0.55,0.0363540168284983,0.0473016673794629,0.0441737672220445
"98",0.05,0.95,0.65,0.0364606060134644,0.0472756700296823,0.0441856517393343
"99",0.05,0.95,0.75,0.036567960964016,0.0472496939413857,0.0441977702335658
"100",0.05,0.95,0.85,0.0366760841198362,0.0472237391877256,0.0442101234540429
"101",0.05,0.95,0.95,0.0397537037456876,0.0471978058421898,0.0450709195289035
"102",0.15,0.05,0.05,0.042985390097753,0.0509993030853775,0.0487096136603419
"103",0.15,0.05,0.15,0.0427209106202825,0.0509931082993767,0.048629623248207
"104",0.15,0.05,0.25,0.0424564155619332,0.0509869372533767,0.0485496453415357
"105",0.15,0.05,0.35,0.0421919049246803,0.0509807900184906,0.0484696799916877
"106",0.15,0.05,0.45,0.0419273787106015,0.0509746666661169,0.0483897272502554
"107",0.15,0.05,0.55,0.0416628369218785,0.0509685672679405,0.0483097871690656
"108",0.15,0.05,0.65,0.0413982795607969,0.0509624918959343,0.0482298598001807
"109",0.15,0.05,0.75,0.0411337066297477,0.0509564406223609,0.0481499451958999
"110",0.15,0.05,0.85,0.0408691181312276,0.0509504135197736,0.0480700434087605
"111",0.15,0.05,0.95,0.0406045140678401,0.0509444106610185,0.0479901544915389
"112",0.15,0.15,0.05,0.042000146921379,0.0498752145917324,0.0476251952573457
"113",0.15,0.15,0.15,0.038337617686779,0.0498771367772927,0.0465801313228602
"114",0.15,0.15,0.25,0.0379261518281342,0.0498790879430815,0.0464639633388108
"115",0.15,0.15,0.35,0.0378586002296448,0.0498810681757032,0.0464460773339722
"116",0.15,0.15,0.45,0.0377912503367271,0.0498830775621091,0.0464282697834285
"117",0.15,0.15,0.55,0.0377241027378646,0.0498851161895986,0.0464105409176746
"118",0.15,0.15,0.65,0.0376571580238615,0.0498871841458215,0.0463928909681187
"119",0.15,0.15,0.75,0.0375904167878553,0.0498892815187797,0.046375320167087
"120",0.15,0.15,0.85,0.0375238796253267,0.0498914083968286,0.046357828747828
"121",0.15,0.15,0.95,0.0374575471341132,0.0498935648686792,0.0463404169445175
"122",0.15,0.25,0.05,0.0416676713829526,0.0491974362784685,0.0470460748797497
"123",0.15,0.25,0.15,0.0380265673343849,0.0492072192872999,0.0460127473007528
"124",0.15,0.25,0.25,0.0361660550959143,0.0492170369077341,0.0454881849614998
"125",0.15,0.25,0.35,0.0362699875566498,0.0492268892429626,0.0455249173325875
"126",0.15,0.25,0.45,0.0363743904080909,0.0492367763965898,0.0455618089713044
"127",0.15,0.25,0.55,0.0364792649521547,0.0492466984726344,0.0455988603239259
"128",0.15,0.25,0.65,0.0365846124957661,0.0492566555755321,0.0456360718384561
"129",0.15,0.25,0.75,0.0366904343508805,0.0492666478101368,0.045673443964635
"130",0.15,0.25,0.85,0.0367967318345112,0.0492766752817236,0.0457109771539486
"131",0.15,0.25,0.95,0.0369035062687525,0.0492867380959906,0.0457486718596369
"132",0.15,0.35,0.05,0.0415528947875128,0.0488537963908952,0.0467678245042145
"133",0.15,0.35,0.15,0.0379141215470914,0.0488712596583271,0.0457406487694026
"134",0.15,0.35,0.25,0.0359066272823442,0.0488887635396067,0.0451795817518174
"135",0.15,0.35,0.35,0.0361602592756263,0.0489063081555441,0.045264579904139
"136",0.15,0.35,0.45,0.0364146560974782,0.0489238936274317,0.0453498257617307
"137",0.15,0.35,0.55,0.0366698198217254,0.0489415200770466,0.0454353200040977
"138",0.15,0.35,0.65,0.0369257525300996,0.048959187626653,0.045521063313352
"139",0.15,0.35,0.75,0.0371824563122772,0.0489768963990046,0.0456070563742253
"140",0.15,0.35,0.85,0.0374399332659172,0.048994646517347,0.0456932998740814
"141",0.15,0.35,0.95,0.0376981854967016,0.0490124381054206,0.0457797945029294
"142",0.15,0.45,0.05,0.0415175064750883,0.0487619488975132,0.0466921082053918
"143",0.15,0.45,0.15,0.0378706061304208,0.0487869646734025,0.0456680050896934
"144",0.15,0.45,0.25,0.0362362012409167,0.0488120274162912,0.045218934223327
"145",0.15,0.45,0.35,0.0366197785650098,0.0488371372655761,0.0453464633511286
"146",0.15,0.45,0.45,0.0370044204925052,0.0488622943612097,0.0454743303987227
"147",0.15,0.45,0.55,0.037390129875573,0.0488874988437028,0.04560253628138
"148",0.15,0.45,0.65,0.037776909577207,0.0489127508541278,0.0457310819178647
"149",0.15,0.45,0.75,0.0381647624712768,0.0489380505341208,0.045859968230451
"150",0.15,0.45,0.85,0.0385536914425827,0.0489633980258852,0.0459891961449416
"151",0.15,0.45,0.95,0.0389436993869068,0.0489887934721941,0.0461187665906835
"152",0.15,0.55,0.05,0.0414672413155864,0.0489974178951447,0.0468459388724138
"153",0.15,0.55,0.15,0.0378078463181145,0.0490298936937105,0.0458235944435402
"154",0.15,0.55,0.25,0.0365257094285873,0.0490624231436839,0.0454805049393706
"155",0.15,0.55,0.35,0.0370206626115453,0.0490950064039555,0.0456451938918383
"156",0.15,0.55,0.45,0.0375169696638559,0.0491276436340483,0.0458103082139933
"157",0.15,0.55,0.55,0.0380146341842768,0.0491603349941212,0.0459758490484514
"158",0.15,0.55,0.65,0.0385136597851838,0.0491930806449722,0.0461418175421755
"159",0.15,0.55,0.75,0.0390140500926388,0.0492258807480414,0.0463082148464978
"160",0.15,0.55,0.85,0.0395158087464537,0.0492587354654146,0.04647504211714
"161",0.15,0.55,0.95,0.0400189394002609,0.0492916449598261,0.046642300514236
"162",0.15,0.65,0.05,0.0413418350984476,0.0493343390288984,0.047050766477341
"163",0.15,0.65,0.15,0.0376697405332054,0.0493742043353901,0.0460300718204802
"164",0.15,0.65,0.25,0.036365771325986,0.0494141302896186,0.0456860277285807
"165",0.15,0.65,0.35,0.0369543657334189,0.0494541170708163,0.0458827595458456
"166",0.15,0.65,0.45,0.0375445808613748,0.0494941648589283,0.0460799980024844
"167",0.15,0.65,0.55,0.0381364209966244,0.0495342738346163,0.0462777444523329
"168",0.15,0.65,0.65,0.0387298904421274,0.049574444179262,0.0464760002543664
"169",0.15,0.65,0.75,0.039324993517112,0.0496146760749711,0.0466747667727256
"170",0.15,0.65,0.85,0.039921734557153,0.0496549697045761,0.0468740453767409
"171",0.15,0.65,0.95,0.0405201179142535,0.0496953252516411,0.0470738374409589
"172",0.15,0.75,0.05,0.0411067541674871,0.0497304616883387,0.0472665452538097
"173",0.15,0.75,0.15,0.0374244658393658,0.0497776581055625,0.0462481746009348
"174",0.15,0.75,0.25,0.0355145568470263,0.0498249224597543,0.0457362465704035
"175",0.15,0.75,0.35,0.0361798209384785,0.0498722549512798,0.0459601309476223
"176",0.15,0.75,0.45,0.0368469416317966,0.0499196557813006,0.046184594595728
"177",0.15,0.75,0.55,0.0375159238255638,0.0499671251517784,0.0464096390585742
"178",0.15,0.75,0.65,0.0381867724368339,0.0500146632654793,0.0466352658858664
"179",0.15,0.75,0.75,0.0388594924012166,0.0500622703259778,0.0468614766331889
"180",0.15,0.75,0.85,0.0395340886729674,0.0501099465376605,0.0470882728620339
"181",0.15,0.75,0.95,0.0402105662250798,0.0501576921057305,0.0473156561398303
"182",0.15,0.85,0.05,0.0407464540046658,0.0501541093061169,0.0474662077914166
"183",0.15,0.85,0.15,0.0370581041512279,0.0502085834509904,0.0464513036510582
"184",0.15,0.85,0.25,0.033855015232226,0.0502631330962657,0.0455750994208258
"185",0.15,0.85,0.35,0.0345808041366115,0.0503177584641774,0.0458214857991586
"186",0.15,0.85,0.45,0.0353086488062496,0.0503724597778429,0.0460685137859591
"187",0.15,0.85,0.55,0.0360385546650204,0.0504272372612658,0.04631618509091
"188",0.15,0.85,0.65,0.0367705271572093,0.0504820911393417,0.046564501430161
"189",0.15,0.85,0.75,0.0375045717476107,0.0505370216378616,0.0468134645263613
"190",0.15,0.85,0.85,0.0382406939216225,0.0505920289835166,0.0470630761086898
"191",0.15,0.85,0.95,0.0389788991853487,0.0506471134039032,0.0473133379128876
"192",0.15,0.95,0.05,0.0402589471217681,0.0505822047179125,0.0476327025475855
"193",0.15,0.95,0.15,0.0365694953866346,0.0506439032892132,0.0466226438884765
"194",0.15,0.95,0.25,0.0328708724654766,0.0507056851801717,0.0456100244045445
"195",0.15,0.95,0.35,0.0321312929946545,0.0507675506355751,0.045442905595312
"196",0.15,0.95,0.45,0.0329046131595087,0.0508294999011818,0.0457081036892752
"197",0.15,0.95,0.55,0.0336801539556099,0.0508915332237265,0.0459739962899789
"198",0.15,0.95,0.65,0.0344579212629398,0.0509536508509248,0.0462405852543577
"199",0.15,0.95,0.75,0.0352379209835742,0.0510158530314785,0.046507872446363
"200",0.15,0.95,0.85,0.0360201590417836,0.0510781400150805,0.0467758597369956
"201",0.15,0.95,0.95,0.036804641384145,0.0511405120524192,0.0470445490043409
"202",0.25,0.05,0.05,0.0423276014300319,0.0517061377274361,0.0490265559281777
"203",0.25,0.05,0.15,0.0388788045246202,0.051734994174024,0.0480617971313372
"204",0.25,0.05,0.25,0.0387051271627821,0.0517638883022354,0.048032813690963
"205",0.25,0.05,0.35,0.03865059146514,0.0517928202092584,0.0480378977109388
"206",0.25,0.05,0.45,0.0385961524715577,0.051821789992619,0.0480430364151729
"207",0.25,0.05,0.55,0.0385418104473724,0.0518507977501831,0.04804822994938
"208",0.25,0.05,0.65,0.0384875656588558,0.0518798435801575,0.0480534784597856
"209",0.25,0.05,0.75,0.0384334183732179,0.0519089275810916,0.0480587820931277
"210",0.25,0.05,0.85,0.0383793688586121,0.051938049851879,0.0480641409966599
"211",0.25,0.05,0.95,0.0383254173841391,0.0519672104917589,0.0480695553181533
"212",0.25,0.15,0.05,0.0415554292863033,0.0510234942661784,0.0483183328433569
"213",0.25,0.15,0.15,0.0381370609190041,0.0510630263312678,0.0473698933563353
"214",0.25,0.15,0.25,0.0347147254018633,0.051102604615676,0.0464203534117295
"215",0.25,0.15,0.35,0.0344878895723616,0.0511422292383279,0.0463838464766232
"216",0.25,0.15,0.45,0.0346200478276077,0.0511819003185614,0.0464499424640032
"217",0.25,0.15,0.55,0.0347525586477609,0.0512216179761302,0.046516172453739
"218",0.25,0.15,0.65,0.0348854228767363,0.0512613823312052,0.0465825367727856
"219",0.25,0.15,0.75,0.0350186413612796,0.0513011935043765,0.046649035749206
"220",0.25,0.15,0.85,0.0351522149509789,0.051341051616655,0.0467156697121761
"221",0.25,0.15,0.95,0.0352861444982767,0.0513809567894744,0.0467824389919893
"222",0.25,0.25,0.05,0.0411282047147378,0.0510008428004698,0.0481800890616892
"223",0.25,0.25,0.15,0.0377110594647284,0.0510507737127899,0.0472394267847723
"224",0.25,0.25,0.25,0.0342891696858003,0.0511007599522175,0.0462974484475268
"225",0.25,0.25,0.35,0.0325744500522902,0.0511508016607798,0.0458432726297828
"226",0.25,0.25,0.45,0.0328512067409764,0.051200898980998,0.0459581297695632
"227",0.25,0.25,0.55,0.0331285737496636,0.0512510520558894,0.0460732011112534
"228",0.25,0.25,0.65,0.0334065525039916,0.0513012610289694,0.04618848716469
"229",0.25,0.25,0.75,0.0336851444343347,0.0513515260442542,0.0463039884414201
"230",0.25,0.25,0.85,0.0339643509758227,0.0514018472462625,0.0464197054547083
"231",0.25,0.25,0.95,0.0342441735683595,0.0514522247800178,0.046535638719544
"232",0.25,0.35,0.05,0.0407118938072956,0.0513753770975101,0.0483286675860202
"233",0.25,0.35,0.15,0.0372866348249334,0.0514355026578764,0.0473929689913212
"234",0.25,0.35,0.25,0.0338560760300206,0.0514956931593399,0.046455802550963
"235",0.25,0.35,0.35,0.0307413572783869,0.0515559487682373,0.04560892262828
"236",0.25,0.35,0.45,0.0311257803342914,0.0516162696514837,0.0457618441322859
"237",0.25,0.35,0.55,0.0315110382690526,0.0516766559765752,0.045915050917283
"238",0.25,0.35,0.65,0.0318971330240506,0.0517371079115917,0.0460685436580085
"239",0.25,0.35,0.75,0.0322840665470787,0.051797625625199,0.0462223230314503
"240",0.25,0.35,0.85,0.0326718407923697,0.0518582092866521,0.0463763897168571
"241",0.25,0.35,0.95,0.0330604577206238,0.0519188590657971,0.0465307443957476
"242",0.25,0.45,0.05,0.0408178430886152,0.0518861592825625,0.048723783227149
"243",0.25,0.45,0.15,0.0373455428103711,0.0519563032010545,0.0477818002322878
"244",0.25,0.45,0.25,0.0338676508787612,0.0520265221189243,0.0468382731931634
"245",0.25,0.45,0.35,0.0303841543800644,0.0520968162278744,0.0458931985570715
"246",0.25,0.45,0.45,0.0288738904735199,0.0521671857202746,0.0455119585069161
"247",0.25,0.45,0.55,0.0292932883561351,0.0522376307891648,0.0456821043797277
"248",0.25,0.45,0.65,0.0297137398824638,0.0523081516282573,0.0458526054151735
"249",0.25,0.45,0.75,0.0301352474501631,0.0523787484319405,0.046023462437147
"250",0.25,0.45,0.85,0.0305578134646464,0.0524494213952815,0.0461946762722429
"251",0.25,0.45,0.95,0.0315980846611009,0.0525201707140295,0.0465424318417642
"252",0.25,0.55,0.05,0.0447727086603631,0.0524977788588774,0.0502906159450162
"253",0.25,0.55,0.15,0.0412775327837566,0.0525777671723762,0.0493491287756277
"254",0.25,0.55,0.25,0.0377765926113773,0.0526578409279085,0.0484060556946138
"255",0.25,0.55,0.35,0.0342698743720611,0.0527380003434597,0.0474613929230601
"256",0.25,0.55,0.45,0.0307573642501398,0.0528182456377742,0.0465151366698787
"257",0.25,0.55,0.55,0.029750647222711,0.0528985770303586,0.0462848827996022
"258",0.25,0.55,0.65,0.0301921665619151,0.052978994741485,0.0464684724044651
"259",0.25,0.55,0.75,0.0306347973183155,0.0530594989921944,0.0466524413710862
"260",0.25,0.55,0.85,0.0316854750400421,0.0531400900043003,0.0470102000145122
"261",0.25,0.55,0.95,0.0347720408370065,0.0532207680003918,0.0479497030965675
"262",0.25,0.65,0.05,0.0499014641782611,0.0532561841695522,0.0522976927434691
"263",0.25,0.65,0.15,0.0464166451068748,0.0533458322948911,0.0513660645268864
"264",0.25,0.65,0.25,0.0429261183311624,0.0534355766313891,0.0504328742598958
"265",0.25,0.65,0.35,0.0394298695189677,0.0535254174241,0.0494981180226336
"266",0.25,0.65,0.45,0.0359278842926395,0.0536153549189309,0.0485617918828476
"267",0.25,0.65,0.55,0.0324201482288379,0.0537053893626468,0.0476238918958443
"268",0.25,0.65,0.65,0.0307076816394737,0.053795521002874,0.0471989954704739
"269",0.25,0.65,0.75,0.0329589327191806,0.0538857500881037,0.0479066594112685
"270",0.25,0.65,0.85,0.0360201775044455,0.0539760768676967,0.0488458199067678
"271",0.25,0.65,0.95,0.0390865692574883,0.0540665015918863,0.0497865209249155
"272",0.25,0.75,0.05,0.0568346861540175,0.0539590540838743,0.0547806632467724
"273",0.25,0.75,0.15,0.053218050446886,0.0540581618438087,0.0538181300161165
"274",0.25,0.75,0.25,0.0495956837727645,0.0541573768546159,0.0528540359740869
"275",0.25,0.75,0.35,0.0459675707579393,0.0542566993890804,0.0518883769230401
"276",0.25,0.75,0.45,0.0423336959811221,0.0543561297209382,0.0509211486524193
"277",0.25,0.75,0.55,0.0401876394380124,0.054455668124881,0.0503790885000614
"278",0.25,0.75,0.65,0.0392747363523387,0.0545553148765604,0.0501894352982114
"279",0.25,0.75,0.75,0.0383600685582177,0.0546550702525923,0.049999355482771
"280",0.25,0.75,0.85,0.0413332748012123,0.054754934530561,0.0509201746078899
"281",0.25,0.75,0.95,0.0443847548897742,0.0548549079890236,0.0518634356749523
"282",0.25,0.85,0.05,0.0649470179746936,0.0546739851230626,0.0576091373663857
"283",0.25,0.85,0.15,0.0613792672228069,0.0547823364582121,0.0566671738195249
"284",0.25,0.85,0.25,0.0578062493428557,0.0548908063006901,0.0557237900270232
"285",0.25,0.85,0.35,0.0561720641925182,0.0549993949515616,0.0553344433061206
"286",0.25,0.85,0.45,0.0551185583623686,0.0551081027129429,0.0551110900413502
"287",0.25,0.85,0.55,0.0540630478147837,0.0552169298880068,0.0548872492956574
"288",0.25,0.85,0.65,0.0530055273202425,0.0553258767809867,0.0546629197922026
"289",0.25,0.85,0.75,0.0519459916329956,0.0554349436971818,0.0544381002502714
"290",0.25,0.85,0.85,0.0508844354909943,0.0555441309429617,0.0542127893852567
"291",0.25,0.85,0.95,0.0507978003753907,0.0556534388257713,0.054266113554234
"292",0.25,0.95,0.05,0.074307976966827,0.0553385964928557,0.0607584194854189
"293",0.25,0.95,0.15,0.0733223159334435,0.0554559616187539,0.0605606342800938
"294",0.25,0.95,0.25,0.0723347967246171,0.0555734566733833,0.0603624109737358
"295",0.25,0.95,0.35,0.0713454142504957,0.0556910819865329,0.0601637483476652
"296",0.25,0.95,0.45,0.0703541634061244,0.0558088378891457,0.059964645179711
"297",0.25,0.95,0.55,0.0693610390713791,0.0559267247133234,0.0597651002441964
"298",0.25,0.95,0.65,0.0683660361109045,0.0560447427923316,0.0595651123119239
"299",0.25,0.95,0.75,0.0673691493740461,0.0561628924606056,0.05936468015016
"300",0.25,0.95,0.85,0.0663703736947918,0.0562811740537544,0.0591638025226223
"301",0.25,0.95,0.95,0.0653697038916979,0.0563995879085675,0.0589624781894619
"302",0.35,0.05,0.05,0.0429544748422414,0.0531731000113049,0.0502534928201439
"303",0.35,0.05,0.15,0.0398047155763873,0.0532243635603053,0.049390178422043
"304",0.35,0.05,0.25,0.0366525962525688,0.0532756713104416,0.0485262212939065
"305",0.35,0.05,0.35,0.0360778308304179,0.0533270233588447,0.0483986826364371
"306",0.35,0.05,0.45,0.0360940580444835,0.0533784198029366,0.0484400307290928
"307",0.35,0.05,0.55,0.0361103348235944,0.0534298607404314,0.0484814247641923
"308",0.35,0.05,0.65,0.0361266612682449,0.053481346269337,0.0485228648404535
"309",0.35,0.05,0.75,0.0361430374792183,0.0535328764879555,0.0485643510568877
"310",0.35,0.05,0.85,0.036159463557587,0.0535844514948847,0.0486058835127997
"311",0.35,0.05,0.95,0.0361759396047136,0.0536360713890195,0.0486474623077892
"312",0.35,0.15,0.05,0.0430437253825543,0.0530744443986272,0.0502085246797492
"313",0.35,0.15,0.15,0.0398732034808921,0.0531374246956758,0.0493476472057376
"314",0.35,0.15,0.25,0.0366996899512434,0.0532004590606856,0.048485953600845
"315",0.35,0.15,0.35,0.0335231790076265,0.0532635476122868,0.0476234422966696
"316",0.35,0.15,0.45,0.0317435570111243,0.0533266904694656,0.0471600809099396
"317",0.35,0.15,0.55,0.0318620099545582,0.0533898877515663,0.0472390655238497
"318",0.35,0.15,0.65,0.031980654648351,0.053453139578292,0.0473181438840232
"319",0.35,0.15,0.75,0.0320994914701727,0.0535164460697063,0.0473973161841253
"320",0.35,0.15,0.85,0.0322205063006942,0.0535798073462347,0.0474771499046517
"321",0.35,0.15,0.95,0.0326824261738875,0.053643223528666,0.0476544242844436
"322",0.35,0.25,0.05,0.0449804566470786,0.0536006600288742,0.0511377447769326
"323",0.35,0.25,0.15,0.0420576832355813,0.0536750041795995,0.0503557696241658
"324",0.35,0.25,0.25,0.0391318924307877,0.0537494127603064,0.0495729783804439
"325",0.35,0.25,0.35,0.0362030780018787,0.0538238859121814,0.0487893693663806
"326",0.35,0.25,0.45,0.0332712337006928,0.053898423776836,0.048004940897938
"327",0.35,0.25,0.55,0.0316468026130311,0.0539730264963086,0.0475941053868008
"328",0.35,0.25,0.65,0.0321046502563962,0.0540476942130659,0.0477782530825888
"329",0.35,0.25,0.75,0.0325630672568187,0.0541224270700044,0.0479626099805228
"330",0.35,0.25,0.85,0.0330220547798151,0.0541972252104527,0.0481471765159848
"331",0.35,0.25,0.95,0.0341421026273931,0.0542720887781723,0.048520664163664
"332",0.35,0.35,0.05,0.0507133818075559,0.0543616934726475,0.0533193187111927
"333",0.35,0.35,0.15,0.0477501356049099,0.0544470686399795,0.0525336592013882
