"","PREDICTED","ACTUAL","ERROR","APE"
"1",3051.00115898007,3094.71,-43.7088410199271,0.014123727593192
"2",2882.5055274704,2905.34,-22.8344725296042,0.00785948375391666
"3",3528.90319703592,3486.81,42.0931970359229,0.012072122380033
"4",3557.77456869828,3582.78,-25.0054313017181,0.00697933763773329
"5",3716.7092740924,3721.73,-5.02072590759553,0.00134903013050262
"6",3846.4938164235,3772.78,73.7138164234998,0.0195383288777771
"7",3918.33173733337,3915.38,2.95173733336969,0.000753882722333386
"8",3886.31992300077,3882.33,3.98992300077043,0.00102771351244496
"9",3765.93834718428,3788.24,-22.3016528157245,0.00588707495188387
"10",3167.9700918962,3431.94,-263.969908103797,0.076915653567311
"11",2998.3848378452,2938.98,59.4048378452035,0.0202127397414081
"12",3237.91939284588,3234.43,3.48939284588505,0.00107882775199496
"13",2944.19679798075,2896.03,48.1667979807476,0.016632009330272
"14",2775.7493783663,3034.87,-259.120621633704,0.0853811272422556
"15",3423.58182486288,3493.48,-69.8981751371243,0.0200081795622486
"16",3452.21365686778,3411.88,40.3336568677832,0.011821534423187
"17",3611.65157963627,3582.91,28.7415796362698,0.00802185364306381
"18",3742.79902809566,3790.11,-47.3109719043418,0.0124827437473693
"19",3814.03078210698,3370.28,443.750782106979,0.131665850346849
"20",3781.72275368486,4139.93,-358.207246315137,0.0865249524303881
"21",3661.52504555394,3579.99,81.5350455539392,0.0227752160072903
"22",3064.07142836248,3000.15,63.9214283624788,0.0213060774836187
"23",2895.36697227599,2999.55,-104.183027724013,0.0347328858408804
"24",3133.92791759343,3048.7,85.2279175934323,0.0279554949957137
"25",2839.50571848684,3015.61,-176.104281513162,0.0583975651736008
"26",2671.45161562069,2551.2,120.251615620688,0.0471353149971341
"27",3319.92636353526,3191.12,128.806363535257,0.0403639987011635
"28",3347.91666920972,3171.49,176.426669209725,0.0556289533341505
"29",3507.18840424887,3604.65,-97.4615957511323,0.0270377417366824
"30",3638.18226941945,3647.44,-9.25773058055302,0.00253814472083242
"31",3709.16975222079,3198.08,511.089752220785,0.159811434429653
"32",3677.30464889382,3531.88,145.424648893817,0.0411748555709189
"33",3556.69698614237,3245.61,311.086986142371,0.0958485419204312
"34",2959.21663369733,NA,NA,NA
"35",2790.51947902484,NA,NA,NA
"36",3028.88755970464,NA,NA,NA
"37",2734.4743929323,NA,NA,NA
"38",2566.10775179509,NA,NA,NA
"39",3214.57622577732,NA,NA,NA
"40",3242.66122641746,NA,NA,NA
"41",3401.9329614566,NA,NA,NA
"42",3532.92682662718,NA,NA,NA
"43",3603.91430942852,NA,NA,NA
"44",3572.04920610155,NA,NA,NA
"45",3451.4415433501,NA,NA,NA
