"","PREDICTED","ACTUAL","ERROR","APE"
"1",3286.67064087672,3094.71,191.960640876716,0.062028636245954
"2",3196.73577556223,2905.34,291.395775562235,0.100296617801095
"3",3087.66201986548,3486.81,-399.147980134518,0.114473682286823
"4",3413.4270358856,3582.78,-169.352964114401,0.0472685914609328
"5",3464.76442545499,3721.73,-256.965574545014,0.0690446578728209
"6",3538.0087053054,3772.78,-234.771294694603,0.0622276662552821
"7",3564.60831267806,3915.38,-350.771687321941,0.0895881593413517
"8",3638.06395472435,3882.33,-244.266045275646,0.0629173834464475
"9",3621.14804660079,3788.24,-167.09195339921,0.044108069551879
"10",3572.63173158401,3431.94,140.691731584011,0.0409948109768852
"11",3383.78934193535,2938.98,444.809341935346,0.15134820309609
"12",3107.26676965669,3234.43,-127.163230343308,0.0393154992821944
"13",3275.29612297875,2896.03,379.266122978754,0.130960702402514
"14",3082.21830016375,3034.87,47.3483001637464,0.0156014261446937
"15",3162.60217998914,3493.48,-330.877820010862,0.0947129567110338
"16",3417.01543662161,3411.88,5.13543662161237,0.00150516331805702
"17",3372.90087179849,3582.91,-210.009128201511,0.0586141232131177
"18",3464.83354374967,3790.11,-325.276456250333,0.0858224316049753
"19",3573.60122253991,3370.28,203.321222539905,0.0603276945950797
"20",3350.22833078951,4139.93,-789.701669210489,0.190752420743947
"21",3751.33477695054,3579.99,171.344776950537,0.0478618032314441
"22",3463.28076827155,3000.15,463.130768271551,0.154369204296969
"23",3142.65842060408,2999.55,143.108420604077,0.04770996336253
"24",3142.31285965928,3048.7,93.6128596592798,0.0307058286021189
"25",3170.51773812667,3015.61,154.907738126674,0.051368624632056
"26",3151.55167117572,2551.2,600.351671175723,0.235321288482174
"27",2874.70019885696,3191.12,-316.419801143039,0.0991563467193457
"28",3286.67064087672,3171.49,115.180640876717,0.0363175166488674
"29",3196.73577556223,3604.65,-407.914224437765,0.11316333747736
"30",3087.66201986548,3647.44,-559.777980134518,0.153471470438038
"31",3413.4270358856,3198.08,215.347035885599,0.0673363505245645
"32",3464.76442545499,3531.88,-67.1155745450137,0.0190027901698285
"33",3538.0087053054,3245.61,292.398705305397,0.0900905239093412
"34",3564.60831267806,NA,NA,NA
"35",3638.06395472435,NA,NA,NA
"36",3621.14804660079,NA,NA,NA
"37",3572.63173158401,NA,NA,NA
"38",3383.78934193535,NA,NA,NA
"39",3107.26676965669,NA,NA,NA
"40",3275.29612297875,NA,NA,NA
"41",3082.21830016375,NA,NA,NA
"42",3162.60217998914,NA,NA,NA
"43",3417.01543662161,NA,NA,NA
"44",3372.90087179849,NA,NA,NA
"45",3464.83354374967,NA,NA,NA
