,Trained_Year,Based_On,Year,Month,Actual_value,Predicted_value,Accuracy
68,2015,Lowest AIC,2014,01-08-2014,1273.485672,1204.578937,0.945891236
69,2015,Lowest AIC,2014,01-09-2014,1338.542127,1259.427575,0.940894986
70,2015,Lowest AIC,2014,01-10-2014,1439.808765,1439.072042,0.999488319
71,2015,Lowest AIC,2014,01-11-2014,1584.612492,1576.700561,0.995007025
72,2015,Lowest AIC,2014,01-12-2014,1810.307154,1850.983084,0.977530924
73,2015,Lowest AIC,2015,01-01-2015,1662.501069,1492.936205,0.898006163
74,2015,Lowest AIC,2015,01-02-2015,1055.452127,1220.878311,0.8432651
75,2015,Lowest AIC,2015,01-03-2015,1572.300884,1447.301153,0.920498848
76,2015,Lowest AIC,2015,01-04-2015,1261.277434,1323.849796,0.950389692
77,2015,Lowest AIC,2015,01-05-2015,1093.949577,1297.294595,0.814118472
78,2015,Lowest AIC,2015,01-06-2015,1288.687455,1305.218554,0.987172143
79,2015,Lowest AIC,2015,01-07-2015,1421.229635,1275.224278,0.897268285
80,2015,Lowest AIC,2015,01-08-2015,1318.693795,1157.354526,0.877652212
81,2015,Lowest AIC,2015,01-09-2015,1331.707548,1230.85799,0.924270491
82,2015,Lowest AIC,2015,01-10-2015,1485.756646,1411.885036,0.950280142
83,2015,Lowest AIC,2015,01-11-2015,1571.134384,1548.118654,0.985350884
84,2015,Lowest AIC,2015,01-12-2015,1965.386745,1828.498877,0.930350671
85,2015,Lowest AIC,2016,01-01-2016,1468.391614,1501.292928,0.977593638
86,2015,Lowest AIC,2016,01-02-2016,1202.601797,1205.400189,0.997673052
87,2015,Lowest AIC,2016,01-03-2016,1493.370473,1464.72087,0.980815475
88,2015,Lowest AIC,2016,01-04-2016,1276.321496,1338.844066,0.951013463
89,2015,Lowest AIC,2016,01-05-2016,1217.321543,1209.607605,0.993663188
90,2015,Lowest AIC,2016,01-06-2016,1182.128779,1262.109943,0.932341412
91,2015,Lowest AIC,2016,01-07-2016,1395.204644,1346.26582,0.964923551
92,2015,Lowest AIC,2016,01-08-2016,1231.507862,1271.703273,0.967360816
93,2015,Lowest AIC,2016,01-09-2016,1377.947097,1319.137197,0.95732064
94,2015,Lowest AIC,2016,01-10-2016,1439.062829,1469.679066,0.978724878
95,2015,Lowest AIC,2016,01-11-2016,1594.208192,1575.853407,0.988486582
96,2015,Lowest AIC,2016,01-12-2016,1935.742292,1886.974434,0.974806637
97,2015,Lowest OutSample Mape,2009,01-01-2009,1611.309904,1610.379614,0.99942265
98,2015,Lowest OutSample Mape,2009,01-02-2009,1343.166985,1342.958649,0.999844892
99,2015,Lowest OutSample Mape,2009,01-03-2009,1563.248524,1562.926133,0.999793769
100,2015,Lowest OutSample Mape,2009,01-04-2009,1542.646804,1542.424677,0.999856009
101,2015,Lowest OutSample Mape,2009,01-05-2009,1393.522857,1393.480549,0.999969639
102,2015,Lowest OutSample Mape,2009,01-06-2009,1505.522483,1505.384256,0.999908187
103,2015,Lowest OutSample Mape,2009,01-07-2009,1192.494217,1192.667259,0.99985489
104,2015,Lowest OutSample Mape,2009,01-08-2009,1333.554577,1333.573395,0.999985889
105,2015,Lowest OutSample Mape,2009,01-09-2009,1511.87638,1511.724425,0.999899493
106,2015,Lowest OutSample Mape,2009,01-10-2009,1552.030974,1551.85606,0.9998873
107,2015,Lowest OutSample Mape,2009,01-11-2009,1770.121471,1769.7541,0.99979246
108,2015,Lowest OutSample Mape,2009,01-12-2009,2142.850474,2142.833424,0.999992043
109,2015,Lowest OutSample Mape,2010,01-01-2010,1578.423817,1584.242288,0.996313746
110,2015,Lowest OutSample Mape,2010,01-02-2010,1282.251782,1296.017506,0.989264414
111,2015,Lowest OutSample Mape,2010,01-03-2010,1565.996896,1537.185543,0.981601909
112,2015,Lowest OutSample Mape,2010,01-04-2010,1406.814602,1472.491802,0.953314957
113,2015,Lowest OutSample Mape,2010,01-05-2010,1371.829516,1365.812498,0.995613873
114,2015,Lowest OutSample Mape,2010,01-06-2010,1466.819963,1457.866732,0.993896163
115,2015,Lowest OutSample Mape,2010,01-07-2010,1230.075862,1157.473866,0.940977627
116,2015,Lowest OutSample Mape,2010,01-08-2010,1316.638416,1270.372906,0.964860884
117,2015,Lowest OutSample Mape,2010,01-09-2010,1461.90817,1451.84619,0.993117228
118,2015,Lowest OutSample Mape,2010,01-10-2010,1415.710175,1492.937846,0.945449519
119,2015,Lowest OutSample Mape,2010,01-11-2010,1565.999475,1733.107605,0.893289792
120,2015,Lowest OutSample Mape,2010,01-12-2010,1872.276643,2146.040274,0.853780352
121,2015,Lowest OutSample Mape,2011,01-01-2011,1700.400237,1621.003875,0.953307251
122,2015,Lowest OutSample Mape,2011,01-02-2011,1277.937634,1209.992949,0.94683255
123,2015,Lowest OutSample Mape,2011,01-03-2011,1484.16489,1450.240597,0.977142504
124,2015,Lowest OutSample Mape,2011,01-04-2011,1577.484479,1383.375903,0.876950564
125,2015,Lowest OutSample Mape,2011,01-05-2011,1256.881635,1234.531333,0.982217656
126,2015,Lowest OutSample Mape,2011,01-06-2011,1365.863201,1398.028272,0.976450738
127,2015,Lowest OutSample Mape,2011,01-07-2011,1194.73614,1159.607674,0.970597302
128,2015,Lowest OutSample Mape,2011,01-08-2011,1408.328134,1257.140891,0.892647715
129,2015,Lowest OutSample Mape,2011,01-09-2011,1329.566484,1366.055972,0.972555349
130,2015,Lowest OutSample Mape,2011,01-10-2011,1471.344872,1434.674577,0.975077023
131,2015,Lowest OutSample Mape,2011,01-11-2011,1591.192481,1599.376744,0.994856522
132,2015,Lowest OutSample Mape,2011,01-12-2011,1946.487392,1961.028039,0.992529802
133,2015,Lowest OutSample Mape,2012,01-01-2012,1579.553659,1578.856516,0.999558646
