,Based_On,Trained_Year,Year,Actual_value,Predicted_value,Accuracy,PE,Actual_mkt_growth,Predicted_mkt_growth
15,Lowest INSample Mape,2013,2010,17534.74532,17982.78341,0.974448554,0.025551446,-0.050242821,-0.025975152
27,Lowest INSample Mape,2013,2011,17604.38758,17000.82017,0.965714945,-0.034285055,0.003971672,-0.030449552
39,Lowest INSample Mape,2013,2012,17004.4388,16861.18387,0.991575439,-0.008424561,-0.034079503,-0.042216959
51,Lowest INSample Mape,2013,2013,17169.99599,16854.52734,0.981626748,-0.018373252,0.009736116,-0.00881602
63,Lowest INSample Mape,2013,2014,16772.15339,16733.39723,0.997689255,-0.002310745,-0.023170803,-0.025428006
75,Lowest INSample Mape,2013,2015,17028.0773,16770.85235,0.98489407,-0.01510593,0.015258858,-7.76E-05
87,Lowest INSample Mape,2013,2016,16813.80862,16388.98886,0.974733877,-0.025266123,-0.012583257,-0.037531451
7,Lowest INSample Mape,2014,2009,18462.34565,18459.96254,0.999870921,-0.000129079,NA,NA
19,Lowest INSample Mape,2014,2010,17534.74532,17968.93525,0.97523831,0.02476169,-0.050242821,-0.026725228
31,Lowest INSample Mape,2014,2011,17604.38758,17044.94121,0.968221197,-0.031778803,0.003971672,-0.027933346
43,Lowest INSample Mape,2014,2012,17004.4388,16960.25799,0.997401807,-0.002598193,-0.034079503,-0.036589151
55,Lowest INSample Mape,2014,2013,17169.99599,16569.41888,0.965021709,-0.034978291,0.009736116,-0.025582727
67,Lowest INSample Mape,2014,2014,16772.15339,16718.12292,0.99677856,-0.00322144,-0.023170803,-0.026317599
79,Lowest INSample Mape,2014,2015,17028.0773,16646.38245,0.977584384,-0.022415616,0.015258858,-0.007498795
91,Lowest INSample Mape,2014,2016,16813.80862,16425.55694,0.976908761,-0.023091239,-0.012583257,-0.035383934
11,Lowest INSample Mape,2015,2009,18462.34565,18459.96254,0.999870921,-0.000129079,NA,NA
23,Lowest INSample Mape,2015,2010,17534.74532,17957.90713,0.975867239,0.024132761,-0.050242821,-0.027322559
35,Lowest INSample Mape,2015,2011,17604.38758,17014.21652,0.966475911,-0.033524089,0.003971672,-0.029685564
47,Lowest INSample Mape,2015,2012,17004.4388,16804.47758,0.988240646,-0.011759354,-0.034079503,-0.045438104
59,Lowest INSample Mape,2015,2013,17169.99599,16705.27012,0.972933839,-0.027066161,0.009736116,-0.017593564
71,Lowest INSample Mape,2015,2014,16772.15339,16879.2405,0.993615185,0.006384815,-0.023170803,-0.016933929
83,Lowest INSample Mape,2015,2015,17028.0773,16657.44768,0.978234206,-0.021765794,0.015258858,-0.006839057
95,Lowest INSample Mape,2015,2016,16813.80862,16739.94249,0.995606817,-0.004393183,-0.012583257,-0.01692116
4,Auto Arima,2013,2009,18462.34565,18443.88331,0.999,-0.001,NA,NA
16,Auto Arima,2013,2010,17534.74532,18559.97639,0.941531454,0.058468546,-0.050242821,0.0052881
28,Auto Arima,2013,2011,17604.38758,17770.74279,0.990550355,0.009449645,0.003971672,0.013458848
40,Auto Arima,2013,2012,17004.4388,17698.32317,0.959193927,0.040806073,-0.034079503,0.00533592
52,Auto Arima,2013,2013,17169.99599,17152.23635,0.998965659,-0.001034341,0.009736116,0.008691704
64,Auto Arima,2013,2014,16772.15339,17145.1952,0.977758264,0.022241736,-0.023170803,-0.001444427
76,Auto Arima,2013,2015,17028.0773,17147.82637,0.992967552,0.007032448,0.015258858,0.022398613
88,Auto Arima,2013,2016,16813.80862,17147.82637,0.98013432,0.01986568,-0.012583257,0.007032448
8,Auto Arima,2014,2009,18462.34565,18443.88331,0.999,-0.001,NA,NA
20,Auto Arima,2014,2010,17534.74532,18521.81162,0.943707976,0.056292024,-0.050242821,0.003220933
32,Auto Arima,2014,2011,17604.38758,17925.40963,0.981764657,0.018235343,0.003971672,0.02227944
44,Auto Arima,2014,2012,17004.4388,17788.22892,0.953906734,0.046093266,-0.034079503,0.010442927
56,Auto Arima,2014,2013,17169.99599,17313.12484,0.991664014,0.008335986,0.009736116,0.018153263
68,Auto Arima,2014,2014,16772.15339,17258.56454,0.970998885,0.029001115,-0.023170803,0.005158333
80,Auto Arima,2014,2015,17028.0773,16937.29239,0.994668517,-0.005331483,0.015258858,0.009846022
92,Auto Arima,2014,2016,16813.80862,16933.19089,0.992899749,0.007100251,-0.012583257,-0.00557235
12,Auto Arima,2015,2009,18462.34565,18443.88331,0.999,-0.001,NA,NA
24,Auto Arima,2015,2010,17534.74532,18540.16255,0.942661429,0.057338571,-0.050242821,0.004214898
36,Auto Arima,2015,2011,17604.38758,17997.93849,0.977644726,0.022355274,0.003971672,0.026415734
48,Auto Arima,2015,2012,17004.4388,17859.72305,0.949702295,0.050297705,-0.034079503,0.014504082
60,Auto Arima,2015,2013,17169.99599,17395.12263,0.98688837,0.01311163,0.009736116,0.022975403
72,Auto Arima,2015,2014,16772.15339,17314.32947,0.967674033,0.032325967,-0.023170803,0.008406145
84,Auto Arima,2015,2015,17028.0773,16995.65951,0.998096216,-0.001903784,0.015258858,0.013326024
96,Auto Arima,2015,2016,16813.80862,16973.14818,0.990523292,0.009476708,-0.012583257,-0.003225797
