index,Metal,Title,Headline,Ref Link,Location,Date,Time,Date-Time
45,Steel,CHINA REBAR,Strong futures fail to give spot prices upward push,https://metalbulletin.com/Article/3913775/steel/CHINA-REBAR-Strong-futures-fail-to-give-spot-prices-upward-push.html,Shanghai,2020-01-14,09:40,2020-01-14 09:40:00
46,Steel,"Flat Steel Products Trade Log, January 14, 2020","Flat Steel Products Trade Log, January 14, 2020",https://metalbulletin.com/Article/3913766/steel/Flat-Steel-Products-Trade-Log-January-14-2020.html,Not Available,2020-01-14,09:25,2020-01-14 09:25:00
47,Steel,China’s finished steel exports fall 7% in 2019,China’s finished steel exports fall 7% in 2019,https://metalbulletin.com/Article/3913774/steel/Chinas-finished-steel-exports-fall-7-in-2019.html,Shanghai,2020-01-14,08:57,2020-01-14 08:57:00
48,Steel,"Long Steel Products Trade Log, January 14, 2020","Long Steel Products Trade Log, January 14, 2020",https://metalbulletin.com/Article/3913768/steel/Long-Steel-Products-Trade-Log-January-14-2020.html,Not Available,2020-01-14,07:40,2020-01-14 07:40:00
49,Steel,"Semi-finished Steel Products Trade Log, January 14, 2020","Semi-finished Steel Products Trade Log, January 14, 2020",https://metalbulletin.com/Article/3913767/steel/Semi-finished-Steel-Products-Trade-Log-January-14-2020.html,Not Available,2020-01-14,07:40,2020-01-14 07:40:00
50,Steel,"China's auto output, sales tumble in 2019","China's auto output, sales tumble in 2019",https://metalbulletin.com/Article/3913770/steel/Chinas-auto-output-sales-tumble-in-2019.html,Shanghai,2020-01-14,07:18,2020-01-14 07:18:00
51,Steel,Slab import prices in Asia steady amid strengthening HRC market,Slab import prices in Asia steady amid strengthening HRC market,https://metalbulletin.com/Article/3913772/steel/Slab-import-prices-in-Asia-steady-amid-strengthening-HRC-market.html,Singapore,2020-01-14,06:13,2020-01-14 06:13:00
52,Steel,CIS STEEL SLAB,"Prices rise on steady demand, support from flat steel market",https://metalbulletin.com/Article/3913727/steel/CIS-STEEL-SLAB-Prices-rise-on-steady-demand-support-from-flat-steel-market.html,Dnepr,2020-01-14,06:00,2020-01-14 06:00:00
53,Steel,Cisa expects China's steel consumption to rise 2% in 2020,Cisa expects China's steel consumption to rise 2% in 2020,https://metalbulletin.com/Article/3913769/steel/Cisa-expects-Chinas-steel-consumption-to-rise-2-in-2020.html,Shanghai,2020-01-14,05:45,2020-01-14 05:45:00
54,Steel,PEOPLE MOVES,Ferroglobe appoints Marco Levi as chief executive,https://metalbulletin.com/Article/3913756/steel/PEOPLE-MOVES-Ferroglobe-appoints-Marco-Levi-as-chief-executive.html,Galway,2020-01-14,04:23,2020-01-14 04:23:00
