Var
Beer.price
touristn
Nominal.Cider.Perry.Price
Cider.Perry.Volume
Unemployment.rate
Unemployment.Female..
Unemployment.Male..
Employment.rate
Employment.Male..
Employment.Female..
Employment.to.population.ratio.15...ILOpct...NBSpct.
Money.Supply
Currency.in.Circulation
Customs.and.import.tax
Taxes.on.goods.and.services
