Snap_Month,A,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25
01-12-2017,2087.34,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2018,2221.67,2080.323644,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2018,2173.82,2076.393533,2241.063457,,,,,,,,,,,,,,,,,,,,,,,
01-02-2020,,,,2133.922138,1972.233373,2272.462501,2351.524988,2246.313596,1953.569244,1958.79938,1943.816807,1935.733547,1790.834936,1775.817721,1688.661326,1745.401886,1774.341276,1747.98326,1676.496558,1666.534724,1731.643918,1683.879641,1711.102887,1664.43396,1732.594207,1759.116352
01-03-2020,,,,,1965.377503,2271.860682,2353.521104,2246.08392,1946.518785,1950.982129,1935.773259,1927.44571,1779.278626,1763.367655,1674.243988,1731.886629,1761.761324,1734.92125,1661.685555,1651.142428,1717.691234,1669.205041,1696.749785,1649.196852,1718.609566,1746.226842
01-04-2020,,,,,,2271.178983,2355.449879,2245.755329,1939.288582,1942.994811,1927.554292,1918.980567,1767.501919,1750.69641,1659.579105,1718.143119,1748.960667,1721.629804,1646.623279,1635.496967,1703.506199,1654.281725,1682.157324,1633.705585,1704.384343,1733.075198
01-05-2020,,,,,,,2357.311313,2245.327822,1931.878635,1934.837426,1919.159907,1910.338118,1755.504814,1737.803988,1644.666675,1704.171357,1735.939304,1708.108922,1631.309731,1619.598341,1689.088815,1639.109682,1667.325547,1617.959517,1689.925984,1719.695269
01-06-2020,,,,,,,,2244.801401,1924.288942,1926.509975,1910.590103,1901.518363,1743.287311,1724.690388,1629.506699,1689.971342,1722.697236,1694.358606,1615.74491,1603.446549,1674.439082,1623.688913,1652.254458,1601.958571,1675.235356,1706.091041
01-07-2020,,,,,,,,,1916.519505,1918.012457,1901.844881,1892.521303,1730.849412,1711.35561,1614.099176,1675.543076,1709.234463,1680.378854,1599.928817,1587.041592,1659.557001,1608.019417,1636.944058,1585.702739,1660.312559,1692.26298
01-08-2020,,,,,,,,,,1909.344872,1892.924241,1883.346936,1718.191114,1697.799655,1598.444107,1660.886557,1695.550984,1666.169666,1583.861451,1570.38347,1644.442572,1592.101193,1621.394348,1569.19202,1645.157606,1678.211143
01-09-2020,,,,,,,,,,,1883.828182,1873.995264,1705.312419,1684.022521,1582.541492,1646.001786,1681.646801,1651.731043,1567.542812,1553.472183,1629.095794,1575.934243,1605.605326,1552.426412,1629.770498,1663.935535
01-10-2020,,,,,,,,,,,,1864.466287,1692.213327,1670.024209,1566.391331,1630.888763,1667.521912,1637.062985,1550.972901,1536.30773,1613.516668,1559.518565,1589.576994,1535.405917,1614.151234,1649.436157
01-11-2020,,,,,,,,,,,,,1678.893837,1655.80472,1549.993623,1615.547488,1653.176318,1622.165491,1534.151717,1518.890112,1597.705193,1542.854161,1573.309351,1518.130535,1598.299816,1634.71301
01-12-2020,,,,,,,,,,,,,,1641.364053,1533.348369,1599.97796,1638.610019,1607.038562,1517.07926,1501.219329,1581.66137,1525.941029,1556.802398,1500.600265,1582.216242,1619.766093
01-01-2021,,,,,,,,,,,,,,,1516.455569,1584.18018,1623.823014,1591.682197,1499.755531,1483.29538,1565.385198,1508.77917,1540.056133,1482.815107,1565.900513,1604.595407
01-02-2021,,,,,,,,,,,,,,,,1568.154149,1608.815304,1576.096397,1482.180529,1465.118267,1548.876678,1491.368584,1523.070558,1464.775061,1549.35263,1589.200952
01-03-2021,,,,,,,,,,,,,,,,,1593.586889,1560.281162,1464.354254,1446.687987,1532.13581,1473.709271,1505.845671,1446.480127,1532.572591,1573.582727
01-04-2021,,,,,,,,,,,,,,,,,,1544.236491,1446.276707,1428.004543,1515.162593,1455.801231,1488.381474,1427.930306,1515.560397,1557.740732
01-05-2021,,,,,,,,,,,,,,,,,,,1427.947887,1409.067933,1497.957028,1437.644464,1470.677966,1409.125598,1498.316048,1541.674968
01-06-2021,,,,,,,,,,,,,,,,,,,,1389.878158,1480.519114,1419.23897,1452.735148,1390.066001,1480.839545,1525.385434
01-07-2021,,,,,,,,,,,,,,,,,,,,,1462.848851,1400.584749,1434.553018,1370.751517,1463.130886,1508.872131
01-08-2021,,,,,,,,,,,,,,,,,,,,,,1381.6818,1416.131578,1351.182145,1445.190072,1492.135059
01-09-2021,,,,,,,,,,,,,,,,,,,,,,,1397.470827,1331.357886,1427.017103,1475.174217
01-10-2021,,,,,,,,,,,,,,,,,,,,,,,,1311.278739,1408.611979,1457.989605
01-11-2021,,,,,,,,,,,,,,,,,,,,,,,,,1389.974699,1440.581224
01-12-2021,,,,,,,,,,,,,,,,,,,,,,,,,,1422.949073
