Date,Prediction
2020-01-01,1767.1547053472739
2020-02-01,1755.954208625249
2020-03-01,1747.7288441743294
2020-04-01,1738.959712360875
2020-05-01,1729.5090578353297
2020-06-01,1720.1314760565213
2020-07-01,1710.9662559712003
2020-08-01,1701.8546714716176
2020-09-01,1692.7335617957983
2020-10-01,1683.6226279421794
2020-11-01,1674.5327491590072
2020-12-01,1665.4549292479555
2021-01-01,1656.3795026298023
2021-02-01,1647.3015539028033
2021-03-01,1638.2173443593779
2021-04-01,1629.122516737093
2021-05-01,1620.0126215635996
2021-06-01,1610.8835916050912
2021-07-01,1601.7316798946629
2021-08-01,1592.553328872289
2021-09-01,1583.3451520994038
2021-10-01,1574.1039494728307
2021-11-01,1564.8267025110786
2021-12-01,1555.5105595906402
