Date,Prediction
2020-01-01,1777.8286815190722
2020-02-01,1771.6842446059952
2020-03-01,1765.7294398621193
2020-04-01,1759.8807495719248
2020-05-01,1754.1368836868598
2020-06-01,1748.4905825345331
2020-07-01,1742.9354330402396
2020-08-01,1737.4653202952861
2020-09-01,1732.0744511008868
2020-10-01,1726.7573341600855
2020-11-01,1721.508764568283
2020-12-01,1716.3238088594373
2021-01-01,1711.1977908517422
2021-02-01,1706.1262782299407
2021-03-01,1701.1050698275028
2021-04-01,1696.1301835720365
2021-05-01,1691.1978450593563
2021-06-01,1686.304476723422
2021-07-01,1681.4466875710768
2021-08-01,1676.6212634521225
2021-09-01,1671.8251578368217
2021-10-01,1667.0554830743579
2021-11-01,1662.3095021071747
2021-12-01,1657.5846206174213
