,Actual_Beer_Volume,Actual YoY,Forecasted_Beer_Volume,Forecasted_YoY,Error
VAR,43734.18009,-0.916883221,43435.51428,-1.593533371,0.682911652
VECM,43734.18009,-0.916883221,43823.70613,-0.714055163,0.204704964
